fid,project_name,type,sea_file_type,investment_usd,rca_number,rca_year,title_holder,stage,region,comuna_code,mandante,link_rca,link_expediente,keywords_detected,source
9,Ampliación y Mejoramiento Aeropuerto El Loa Calama II Región de Antofagasta,AEROPUERTOS,DIA,68000000,155,2010,Consorcio Aeroportuario de Calama S.A. Sociedad Concesionaria,OPERACION Y CONSTRUCCIÓN,Región de Antofagasta,02201,MINISTERIO DE OBRAS PUBLICAS,http://seia.sea.gob.cl/archivos/RCA_El_Loa.pdf,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=4025852,"ampliacion,mejoramiento",https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
11,Proyecto Referencial Ampliación y Mejoramiento Aeropuerto el Loa de Calama,AEROPUERTOS,DIA,142000000,202202001243,2022,Ministerio de Obras Públicas,OPERACION Y CONSTRUCCIÓN,Región de Antofagasta,02201,MINISTERIO DE OBRAS PUBLICAS,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2151727454,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2151727454,"ampliacion,mejoramiento",https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
12,Proyecto por concesión: Mejoramiento y Ampliación del Aeropuerto Presidente Carlos Ibañez del Campo. XII° Región,AEROPUERTOS,DIA,61455401,070,2009,Consorcio Aeroportuario de Magallanes S.A Sociedad Concesionaria,OPERACION Y CONSTRUCCIÓN,Región de Magallanes y La Antártica Chilena,12101,DIRECCION GENERAL DE AERONAUTICA CIVIL,http://seia.sea.gob.cl/documentos/documento.php?idDocumento=3643333,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=3106133,"ampliacion,mejoramiento",https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
13,Ampliación y Mejoramiento Aeropuerto Presidente Carlos Ibáñez del Campo de Punta Arenas,AEROPUERTOS,DIA,54000000,120,2018,Red aeroportuaria Austral Sociedad Concesionaria SA,OPERACION Y CONSTRUCCIÓN,Región de Magallanes y La Antártica Chilena,12101,DIRECCION GENERAL DE AERONAUTICA CIVIL,http://seia.sea.gob.cl/archivos/2018/09/28/rex_120_cea.pdf,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2132772343,"ampliacion,mejoramiento",https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
15,Ampliación y Mejoramiento Aeródromo Balmaceda,"PROYECTOS DE DESARROLLO URANO QUE CONTEMPLEN OBRAS DE EDIFICACION Y/O URBANIZACION CUYO DESTINO SEA HABITACIONAL, INDUSTRIAL Y/O EQUIPAMIENTO",DIA,70989618,89,2019,Red aeroportuaria Austral Sociedad Concesionaria SA,OPERACION Y CONSTRUCCIÓN,Región Aysén del General Carlos Ibáñez del Cam,11101,DIRECCION GENERAL DE AERONAUTICA CIVIL,https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=2142388329,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2142388329,"ampliacion,mejoramiento",https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
16,"Ampliación y Mejoramiento Aeropuerto El Tepual de Puerto Montt, Región de Los Lagos, Cuarta Concesión",AEROPUERTOS,DIA,44463689,533,2014,Sociedad Concesionaria Aeropuerto del Sur S.A.,OPERACION,Región de Los Lagos,10101,MINISTERIO DE OBRAS PUBLICAS,http://infofirma.sea.gob.cl/DocumentosSEA/MostrarDocumento?docId=62/1e/6384f88afbe0e78547e88e5200fff7297b94,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2128946747,"ampliacion,mejoramiento",https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
17,Ampliación y Mejoramiento Aeropuerto El Tepual de Puerto Montt - X Región,INGRESO VOLUNTARIO,DIA,14750000,897,2007,Sociedad Concesionaria Aeropuerto del Sur S.A.,OPERACION,Región de Los Lagos,10101,MINISTERIO DE OBRAS PUBLICAS,https://infofirma.sea.gob.cl/DocumentosSEA/MostrarDocumento?docId=7b/39/ccdbda6c6d2e51d69583086b7e5bf8731ee0,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2098158,"ampliacion,mejoramiento",https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
19,Nuevo Edificio Terminal de Pasajeros - Ampliación y Mejoramiento Aeropuerto Arturo Merino Benitez,AEROPUERTOS,DIA,722.981.300,2,2014,Sociedad Concesionaria Nuevo Pudahuel S.A.,OPERACION Y CONSTRUCCIÓN,Región Metropolitana de Santiago,13124,DIRECCION GENERAL DE AERONAUTICA CIVIL,http://infofirma.sea.gob.cl/DocumentosSEA/MostrarDocumento?docId=e5/d0/f9a73b17f2aed3e1738c0a5d84d54e5d2ec4,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=7853638,"ampliacion,mejoramiento",https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
20,Ampliación de Terminales Aeropuerto A.M.B.,AEROPUERTOS,DIA,150000000,136,1997,Sociedad Concesionaria Nuevo Pudahuel S.A.,OPERACION Y CONSTRUCCIÓN,Región Metropolitana de Santiago,13124,DIRECCION GENERAL DE AERONAUTICA CIVIL,http://seia.sea.gob.cl/archivos/2015/09/08/01/DIA_37_DOC_2130767291.pdf,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?id_expediente=37&idExpediente=37,ampliacion,https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
28,Ampliación y Mejoramiento Aeropuerto Chacalluta de Arica,AEROPUERTOS,DIA,55400000,23,2018,Sociedad Concesionaria Aeropuerto Arica S.A,OPERACION Y CONSTRUCCIÓN,Región de Arica y Parinacota,15101,DIRECCION GENERAL DE AERONAUTICA CIVIL,http://seia.sea.gob.cl/archivos/2018/10/04/RCA_N_023_2018.PDF,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2132734168,"ampliacion,mejoramiento",https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
