fid,name,category,region,province,comuna,comuna_code,address,rut,longitude,latitude,source
1,Ready Mix Centro S A,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Limache,,-71.5047222169999,-33.0497220799999,RETC_Valparaiso
2,Compania De Petroleos De Chile Copec S A,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Av Jorge Montt,,-71.5472222499999,-32.996666532,RETC_Valparaiso
3,Vidrieria Scheggia S A,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Victoria,,-71.6094443899999,-33.0474997969999,RETC_Valparaiso
4,Inesa Chile S A,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Uno Poniente,,-71.5516666789999,-33.0199998509999,RETC_Valparaiso
5,Banco Del Estado De Chile,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Condell,,-71.6233333429999,-33.0430554179999,RETC_Valparaiso
6,Banco Del Estado De Chile,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Valparaiso,,-71.5475000199999,-33.0247220439999,RETC_Valparaiso
7,Banco Del Estado De Chile,Exposición,Región de Valparaíso,San Antonio,El Quisco,,Isidoro Dubournais,,-71.6922222549999,-33.3949998609999,RETC_Valparaiso
8,Banco Del Estado De Chile,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Brasil,,-71.6183333229999,-33.0436109889999,RETC_Valparaiso
9,Banco Del Estado De Chile,Exposición,Región de Valparaíso,San Antonio,San Antonio,,Centenario,,-71.6102777849999,-33.5769442449999,RETC_Valparaiso
10,Banco Del Estado De Chile,Exposición,Región de Valparaíso,San Antonio,Cartagena,,Avda Cartagena,,-71.5999999909999,-33.5430553709999,RETC_Valparaiso
11,Banco Del Estado De Chile,Exposición,Región de Valparaíso,San Antonio,San Antonio,,Av Divina Providencia,,-71.6086111259999,-33.6088887179999,RETC_Valparaiso
12,Banco Del Estado De Chile,Exposición,Región de Valparaíso,Valparaíso,Valparaíso,,Avda. Playa Ancha,,-71.634722215,-33.0297220479999,RETC_Valparaiso
13,Banco Del Estado De Chile,Exposición,Región de Valparaíso,Valparaíso,Viña del Mar,,Diego Portales,,-71.5727777749999,-33.0258331619999,RETC_Valparaiso
