fid,project_name,type,sea_file_type,investment_usd,rca_number,rca_year,title_holder,stage,region,comuna_code,mandante,link_rca,link_expediente,longitude,latitude,source
, Extracción de Áridos Pozo Gallegos,PROYECTOS DE EXTRACCION DE ARIDOS Y GREDA,DIA,2500000,202208001164,2022,Sociedad Concesionaria Ruta Nahuelbuta S.A.,CONSTRUCCION,Región del Biobío,08307,MINISTERIO DE OBRAS PUBLICAS,https://seia.sea.gob.cl/archivos/2022/11/28/a2a_RCA_202208001164_POZO_GALLEGOS.pdf,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2154861605,,,https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
,Extracción de Áridos Pozo E10 (km 100),PROYECTOS DE EXTRACCION DE ARIDOS Y GREDA,DIA,50000,246,2020,Ruta del Loa Sociedad Concesionaria S.A,CONSTRUCCION,Región de Antofagasta,02201,MINISTERIO DE OBRAS PUBLICAS,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2145347109,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2145347109,,,https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
,Proyecto extracción de áridos e instalaciones asociadas Romeralcillo,PROYECTOS DE EXTRACCION DE ARIDOS Y GREDA,DIA,1000000,92,2015,Sociedad Concesionaria Ruta del Limarí S.A.,OPERACION,Región de Coquimbo,04301,MINISTERIO DE OBRAS PUBLICAS,https://seia.sea.gob.cl/archivos/2015/10/13/574_RCA_ROMERALCILLO.pdf,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2130367757,,,https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
,Proyecto de Extracción de Áridos Pozo 10,PROYECTOS DE EXTRACCION DE ARIDOS Y GREDA,DIA,3500000,27,2015,Sociedad Concesionaria Ruta del Limarí S.A.,OPERACION,Región de Coquimbo,04102,MINISTERIO DE OBRAS PUBLICAS,https://seia.sea.gob.cl/archivos/2015/03/10/Resolucion_Exenta_N_0027_de_fecha_10-03-2015.pdf,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2129795079,,,https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
,Proyecto extracción de áridos Pozo Silva,PROYECT DE DESARROLLO MINERIO SOBRE 5.000 TON/MES,DIA,750000,67,2015,SACYR CHILE S.A.,CONSTRUCCION,Región de Coquimbo,04101,MINISTERIO DE OBRAS PUBLICAS,https://seia.sea.gob.cl/archivos/2015/07/01/RCA_POZO_SILVA.pdf,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2130236578,,,https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
,Ampliación Extracción de Áridos y Producción de Asfaltos Pozo km 38,PROYECTOS DE EXTRACCION DE ARIDOS Y GREDA,DIA,50.000,9,2021,Ruta del Loa Sociedad Concesionaria S.A,CONSTRUCCION,Región de Antofagasta,02103,MINISTERIO DE OBRAS PUBLICAS,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2146185330,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2146185330,,,https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
,Ampliación Extracción de Áridos Pozo E4 (km 13,PROYECTOS DE EXTRACCION DE ARIDOS Y GREDA,DIA,50000,249,2020,Ruta del Loa Sociedad Concesionaria S.A,CONSTRUCCION,Región de Antofagasta,02103,MINISTERIO DE OBRAS PUBLICAS,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2145700005,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2145700005,,,https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
,Ampliación Extracción de Áridos Pozo L12 (km 2),PROYECTOS DE EXTRACCION DE ARIDOS Y GREDA,DIA,50000,205,2020,Ruta del Loa Sociedad Concesionaria S.A,CONSTRUCCION,Región de Antofagasta,02103,MINISTERIO DE OBRAS PUBLICAS,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2145403744,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2145403744,,,https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
,Extracción de Áridos Pozo E5 (km 27),PROYECTOS DE EXTRACCION DE ARIDOS Y GREDA,DIA,50000,189,2020,Ruta del Loa Sociedad Concesionaria S.A,CONSTRUCCION,Región de Antofagasta,02103,MINISTERIO DE OBRAS PUBLICAS,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2145328035,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2145328035,,,https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
,Extracción de Áridos Pozo L13 (km 0),PROYECTOS DE EXTRACCION DE ARIDOS Y GREDA,DIA,50000,182,2020,Ruta del Loa Sociedad Concesionaria S.A,CONSTRUCCION,Región de Antofagasta,02103,MINISTERIO DE OBRAS PUBLICAS,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2145293484,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2145293484,,,https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
,Extracción de Aridos y Planta de Asfaltos Sector Pozo D8,PROYECTOS DE EXTRACCION DE ARIDOS Y GREDA,DIA,50000,181,2020,Ruta del Loa Sociedad Concesionaria S.A,CONSTRUCCION,Región de Antofagasta,02103,MINISTERIO DE OBRAS PUBLICAS,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2145235914,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2145235914,,,https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
,Proyecto extracción de áridos e instalaciones asociados pozo el Manzano,PROYECTOS DE EXTRACCION DE ARIDOS Y GREDA,DIA,1700000,145,2014,Sociedad Concesionaria Ruta del Limarí S.A.,OPERACION,Región de Coquimbo,04102,MINISTERIO DE OBRAS PUBLICAS,https://seia.sea.gob.cl/archivos/2014/11/19/RCA_Final.pdf,https://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2129545951,,,https://services3.arcgis.com/aSoEm9TBK2shtWjP/arcgis/rest/services/RCA_POL/FeatureServer/0
