empresa,nombre_fantasia,rut,sector,subsector,region_operacion_principal,direccion,telefono,email,sitio_web,contacto_kam,relevancia_supcon,memoria_descargada
Celulosa Arauco y Constitución S.A.,Arauco,93.458.000-1,Forestal/Celulosa,Pasta celulosa,Santiago — Región del Biobío y Maule,"Av. El Golf 150, Las Condes, Santiago",+56 2 2461 7200,contacto@arauco.cl,https://arauco.com,Por definir,Alta,Memoria_ARAUCO_2024.pdf
CMPC S.A.,CMPC,90.222.000-3,Forestal/Celulosa,Pasta celulosa/biopackaging,Santiago — Región del Biobío,"Agustinas 1343, Santiago",+56 2 2441 2000,info@cmpc.cl,https://www.cmpc.com,Por definir,Alta,Reporte_CMPC_2024.pdf
SQM S.A.,SQM,93.007.000-1,Minería/Litio,Litio y sales de potasio,Antofagasta — Región de Antofagasta,"El Trovador 4285, Las Condes, Santiago",+56 2 2425 2000,contactoinversionistas@sqm.com,https://ir.sqm.com,Por definir,Alta,Memoria_SQM_2024.pdf
Codelco,Codelco,61.704.000-K,Minería/Cobre,Cobre,Santiago — Región de Antofagasta,"Teatinos 280, Santiago",+56 2 2393 0000,inversionistas@codelco.cl,https://www.codelco.com,Por definir,Alta,Memoria_Codelco_2024.pdf
ENGIE Chile,ENGIE Chile,94.226.000-1,Energía,Generación eléctrica,Las Condes — Región Metropolitana,"Santa Cruz 2225, Las Condes",+56 2 2465 8000,contacto@engie.cl,https://www.engie.cl,Por definir,Alta,Memoria_ENGIE_2024.pdf
Enel Chile S.A.,Enel Chile,76.901.050-8,Energía,Generación y distribución,Santiago — Región Metropolitana,"Av. Santa Rosa 76, Santiago",+56 2 2353 4000,info.enel@enel.com,https://www.enel.cl,Por definir,Alta,Memoria_Enel_Chile_2024.pdf
AES Andes,AES Andes,94.272.000-9,Energía,Generación eléctrica,Las Condes — Región Metropolitana,"Los Militares 5900, Las Condes",+56 2 2420 5000,info@aes.com,https://ir.aes.com,Por definir,Alta,Memoria_AES_Andes_2024.pdf
Colbún S.A.,Colbún,94.370.000-1,Energía,Generación eléctrica,Las Condes — Región Metropolitana,"Apoquindo 4775 Piso 11, Las Condes",+56 2 2360 6000,contacto@colbun.cl,https://www.colbun.cl,Por definir,Alta,Memoria_Colbun_2024.pdf
Agrosuper S.A.,Agrosuper,76.129.263-3,Agro/Pork,Producción porcina y avícola,Rancagua — Región de O'Higgins,"Camino a Pilís s/n, Rancagua",+56 72 246 2000,mlavagnino@agrosuper.com,https://www.agrosuper.com,Por definir,Alta,PENDING
Cemento Polpaico S.A.,Polpaico,91.337.000-7,Materiales/Cemento,Cemento integrado y molienda,Cerro Blanco Til Til — Región Metropolitana + Coronel — Región del Biobío + Mejillones — Región de Antofagasta,"Av. El Bosque Norte 0177, Piso 5, Las Condes, Santiago",600 620 6200,,https://www.polpaico.cl,Por definir,Alta,PENDING
